change_in_market_value,position,foot,height_in_cm,age,minutes_played,goals,assists,penalty_attempts,yellow_cards,shots,shots_on_target_pct,goals_per_shot,passes,completed_passes_pct,assisted_shots,goal_creating_action,tackles_won_pct,tackles_interceptions,clearances,mistakes_leading_to_opp_shot,dribbles_success,ball_control_failed_attempt,ball_control_lost_after_tackle,fouls,fouled,offside,penalties_won,aerial_success_pct
-1000000,Midfield,Right,184,32,1398,1,0,0,5,9,0.222222222222222,0.111111111111111,507,0.8224852071005917,9,2,0.7301587301587301,85,19,0,9,16,16,46,23,0,0,0.6818181818181818
0,Defender,Left,182,34,1564,0,1,0,2,2,0,0,1025,0.7892682926829269,10,3,0.7837837837837838,59,70,1,19,14,12,25,19,2,0,0.7666666666666667
-3000000,Attack,Right,170,34,1203,5,1,0,3,20,0.5,0.25,821,0.8367844092570037,34,8,0.8421052631578947,26,3,0,22,19,22,11,41,2,0,0.2857142857142857
0,Defender,Right,185,34,468,0,0,0,1,0,0,0,254,0.8346456692913385,0,0,0.8,12,13,1,4,2,1,3,3,0,0,0.6666666666666666
-100000,Midfield,Right,180,34,206,0,0,0,1,0,0,0,112,0.8303571428571429,3,0,1,7,1,0,0,1,3,6,2,0,0,0.2
-1000000,Midfield,Right,185,32,1574,2,2,0,5,19,0.578947368421053,0.105263157894737,551,0.7985480943738656,14,3,0.6875,51,13,0,9,19,11,29,21,6,0,0.5333333333333333
0,Attack,Right,180,34,2719,19,5,8,4,105,0.371428571428571,0.180952380952381,671,0.6497764530551415,37,10,0.8181818181818182,18,23,0,18,73,38,24,46,39,0,0.4782608695652174
-250000,Defender,Right,185,32,2635,1,0,0,4,11,0.181818181818182,0.0909090909090909,1277,0.8292873923257635,6,1,0.7419354838709677,118,124,2,3,14,3,25,26,1,0,0.6422018348623854
-3500000,Defender,Right,181,31,2464,0,1,0,3,13,0.153846153846154,0,1544,0.8808290155440415,7,1,0.6666666666666666,75,142,1,10,8,5,16,28,0,0,0.6846846846846847
-900000,Midfield,Left,185,33,764,0,0,0,5,2,0.5,0,455,0.8571428571428571,13,1,0.7368421052631579,39,16,0,8,9,11,20,12,0,0,0.6666666666666666
0,Midfield,Right,181,34,2349,0,1,0,8,10,0.1,0,1779,0.8341765036537381,22,7,0.6125,124,38,0,10,17,18,51,23,1,0,0.5151515151515151
0,Midfield,Right,178,34,390,0,0,0,4,1,0,0,135,0.6296296296296297,1,0,0.8333333333333334,8,4,0,3,3,5,10,3,0,0,0.1
-2500000,Midfield,Right,173,32,606,0,1,0,4,0,0,0,513,0.9181286549707602,4,1,0.3333333333333333,18,6,0,32,12,10,22,4,0,0,0.45454545454545453
-750000,Defender,Left,172,33,2916,0,0,0,4,1,0,0,1974,0.9057750759878419,2,1,0.6923076923076923,85,129,5,5,16,3,26,23,1,0,0.625
-100000,Defender,Left,191,35,550,0,0,0,1,0,0,0,239,0.8242677824267782,0,0,0.75,7,40,0,0,0,1,5,7,0,0,0.48148148148148145
0,Defender,Right,185,33,710,0,0,0,1,5,0.2,0,328,0.823170731707317,2,0,0.7142857142857143,12,43,0,1,1,1,4,4,1,0,0.3333333333333333
-500000,Attack,Right,169,36,359,1,1,1,0,8,0.5,0.125,59,0.8305084745762712,2,2,1,1,2,0,1,6,2,1,5,6,0,0.2
0,Attack,Left,178,35,673,0,1,0,3,6,0.166666666666667,0,404,0.7722772277227723,14,1,0.5714285714285714,19,1,0,7,9,9,5,21,3,0,0.3333333333333333
-400000,Midfield,Right,186,29,480,0,1,0,4,3,0,0,342,0.8888888888888888,8,1,1,8,9,0,2,2,9,7,2,0,0,0.5454545454545454
-6000000,Midfield,Right,180,30,2537,0,7,0,4,73,0.315068493150685,0,1639,0.7162904209884076,71,16,0.5833333333333334,34,24,0,50,48,27,20,28,18,0,0
5000000,Defender,Right,184,31,2289,4,1,3,9,25,0.48,0.16,1921,0.8938053097345132,14,4,0.725,87,91,0,9,10,4,37,20,6,0,0.6511627906976745
-1000000,Defender,Right,184,32,2138,0,3,0,3,20,0.35,0,1609,0.786202610316967,17,5,0.7254901960784313,93,64,1,17,17,15,22,24,2,1,0.63
-500000,Defender,Right,189,32,1302,3,0,0,4,14,0.5,0.214285714285714,700,0.8257142857142857,1,0,0.7,45,51,2,4,9,2,11,8,2,0,0.6309523809523809
-500000,Attack,Left,184,30,2504,3,6,0,3,48,0.354166666666667,0.0625,1513,0.7237276933245208,66,14,0.5,52,20,1,29,57,46,24,31,1,0,0.4126984126984127
0,Attack,Right,192,33,1684,2,2,1,1,28,0.285714285714286,0.0714285714285714,374,0.6497326203208557,21,5,0.6666666666666666,14,18,0,12,48,39,54,21,15,1,0.336734693877551
